Date/Time;Serial number;GPS longitude [°];GPS latitude [°];Total working hours counter [h];Engine speed [rpm];Engine load [%];Fuel consumption [l/h];Ground speed gearbox [km/h];Ground speed radar [km/h];Coolant temperature [°C];Speed front PTO [rpm];Speed rear PTO [rpm];current gear shift [];Ambient temperature [°C];Parking brake status [];Transverse differential lock status [];All-wheel drive status [];Actual status of creeper []
Mar 14, 2020 6:42:32 AM;A6002059;20.1048551;46.0488384;313.81;1114;48;8.9;6.25;131.07;19;0;0;2;NA;0;0;OFF;OFF
Mar 14, 2020 6:42:42 AM;A6002059;20.1048705;46.0488524;313.81;972.5;48;7.2;3.34;131.07;21;0;0;0;NA;0;0;OFF;OFF
Mar 14, 2020 6:42:52 AM;A6002059;20.1049093;46.0488333;313.81;852;29;4;0;131.07;22;0;0;255;NA;0;0;ON;OFF
Mar 14, 2020 6:43:02 AM;A6002059;20.1048805;46.0488451;313.81;851.5;29;3.95;0;131.07;24;0;0;255;NA;0;0;ON;OFF
Mar 14, 2020 6:43:12 AM;A6002059;20.1049059;46.048859;313.82;854.5;29;4;0;131.07;25;0;0;255;NA;0;0;ON;OFF
Mar 14, 2020 6:43:22 AM;A6002059;20.1049132;46.0488629;313.82;854;28;3.95;0;131.07;26;0;0;255;NA;0;0;ON;OFF
Mar 14, 2020 6:43:32 AM;A6002059;20.10492;46.0488631;313.82;852;30;4.2;0;131.07;27;0;0;255;NA;0;0;ON;OFF
Mar 14, 2020 6:43:42 AM;A6002059;20.1049203;46.0488639;313.83;855;27;3.95;0;131.07;28;0;0;255;NA;0;0;ON;OFF
Mar 14, 2020 6:43:52 AM;A6002059;20.1049142;46.0488629;313.83;854.5;27;3.8;0;131.07;29;0;0;255;NA;0;0;ON;OFF
Mar 14, 2020 6:44:02 AM;A6002059;20.1049088;46.0488616;313.83;851.5;27;3.85;0;131.07;30;0;0;255;NA;0;0;ON;OFF
Mar 14, 2020 6:44:12 AM;A6002059;20.1049083;46.0488496;313.83;852;27;3.85;0;131.07;31;0;0;255;NA;0;0;ON;OFF
Mar 14, 2020 6:44:22 AM;A6002059;20.1049062;46.0488338;313.84;851.5;28;3.85;0;131.07;31;0;0;255;NA;0;0;ON;OFF
Mar 14, 2020 6:44:32 AM;A6002059;20.1049091;46.0488251;313.84;853.5;27;3.85;0;131.07;32;0;0;255;NA;0;0;ON;OFF
Mar 14, 2020 6:44:42 AM;A6002059;20.1049199;46.0488214;313.84;852;27;3.8;0;131.07;33;0;0;255;NA;0;0;ON;OFF
Mar 14, 2020 6:44:52 AM;A6002059;20.1049133;46.0488227;313.84;855.5;26;3.8;0;131.07;34;0;0;255;NA;0;0;ON;OFF
Mar 14, 2020 6:45:02 AM;A6002059;20.1049097;46.0488326;313.85;853.5;26;3.8;0;131.07;34;0;0;255;NA;0;0;ON;OFF
Mar 14, 2020 6:45:12 AM;A6002059;20.1049157;46.0488514;313.85;852.5;26;3.8;0;131.07;35;0;0;255;NA;0;0;ON;OFF
Mar 14, 2020 6:45:22 AM;A6002059;20.1049133;46.048865;313.85;851.5;27;3.8;0;131.07;36;0;0;255;NA;0;0;ON;OFF
Mar 14, 2020 6:45:32 AM;A6002059;20.1049113;46.0488707;313.86;851;27;3.9;0;131.07;36;0;0;255;NA;0;0;ON;OFF
Mar 14, 2020 6:45:42 AM;A6002059;20.1049074;46.0488748;313.86;852.5;26;3.8;0;131.07;37;0;0;255;NA;0;0;ON;OFF
Mar 14, 2020 6:45:52 AM;A6002059;20.1049014;46.0488728;313.86;853;26;3.85;0;131.07;38;0;0;255;NA;0;0;ON;OFF
Mar 14, 2020 6:46:02 AM;A6002059;20.1048965;46.0488646;313.86;853;26;3.75;0;131.07;38;0;0;255;NA;0;0;ON;OFF
Mar 14, 2020 6:46:12 AM;A6002059;20.1048892;46.0488566;313.87;852;26;3.65;0;131.07;39;0;0;255;NA;0;0;ON;OFF
Mar 14, 2020 6:46:22 AM;A6002059;20.1048786;46.0488481;313.87;854.5;25;3.6;0;131.07;39;0;0;255;NA;0;0;ON;OFF
Mar 14, 2020 6:46:32 AM;A6002059;20.1048951;46.0488374;313.87;856;25;3.6;0;131.07;40;0;0;255;NA;0;0;ON;OFF
Mar 14, 2020 6:46:42 AM;A6002059;20.1049118;46.0488311;313.88;854;26;3.7;0;131.07;40;0;0;255;NA;0;0;ON;OFF
Mar 14, 2020 6:46:52 AM;A6002059;20.1049231;46.0488274;313.88;852;26;3.65;0;131.07;41;0;0;255;NA;0;0;ON;OFF
Mar 14, 2020 6:47:02 AM;A6002059;20.1049191;46.0488269;313.88;851;25;3.55;0;131.07;41;0;0;255;NA;0;0;ON;OFF
Mar 14, 2020 6:47:12 AM;A6002059;20.1049171;46.0488314;313.88;854.5;25;3.55;0;131.07;42;0;0;255;NA;0;0;ON;OFF
Mar 14, 2020 6:47:22 AM;A6002059;20.1049102;46.0488423;313.89;853;27;3.85;0;131.07;42;0;0;255;NA;0;0;ON;OFF
Mar 14, 2020 6:47:32 AM;A6002059;20.1048932;46.0488391;313.89;855.5;24;3.55;0;131.07;43;0;0;255;NA;0;0;ON;OFF
Mar 14, 2020 6:47:42 AM;A6002059;20.1048904;46.0488371;313.89;854.5;24;3.5;0;131.07;43;0;0;255;NA;0;0;ON;OFF
Mar 14, 2020 6:47:52 AM;A6002059;20.1048976;46.0488358;313.89;850.5;24;3.5;0;131.07;44;0;0;255;NA;0;0;ON;OFF
Mar 14, 2020 6:48:02 AM;A6002059;20.1049032;46.0488297;313.9;849.5;24;3.5;0;131.07;44;0;0;255;NA;0;0;ON;OFF
Mar 14, 2020 6:48:12 AM;A6002059;20.1048907;46.0488283;313.9;853;24;3.55;0;131.07;45;0;0;255;NA;0;0;ON;OFF
